  3%|▎         | 40/1500 [37:16<22:49:56, 56.30s/it]
                                                    

  3%|▎         | 40/1500 [37:16<22:49:56, 56.30s/it]
  3%|▎         | 41/1500 [38:15<23:05:53, 56.99s/it]
  3%|▎         | 42/1500 [39:08<22:39:02, 55.93s/it]
  3%|▎         | 43/1500 [40:03<22:28:55, 55.55s/it]
  3%|▎         | 44/1500 [41:06<23:23:12, 57.82s/it]
  3%|▎         | 45/1500 [41:59<22:48:18, 56.43s/it]
  3%|▎         | 46/1500 [43:01<23:24:23, 57.95s/it]
  3%|▎         | 47/1500 [43:56<23:00:17, 57.00s/it]
  3%|▎         | 48/1500 [44:52<22:55:33, 56.84s/it]
  3%|▎         | 49/1500 [45:47<22:37:34, 56.14s/it]
  3%|▎         | 50/1500 [46:41<22:22:18, 55.54s/it]
                                                    

  3%|▎         | 50/1500 [46:41<22:22:18, 55.54s/it]
  3%|▎         | 51/1500 [47:38<22:36:22, 56.16s/it]
  3%|▎         | 52/1500 [48:39<23:04:40, 57.38s/it]
  4%|▎         | 53/1500 [49:34<22:52:07, 56.90s/it]
  4%|▎         | 54/1500 [50:29<22:37:34, 56.33s/it]
  4%|▎         | 55/1500 [51:18<21:41:11, 54.03s/it]
  4%|▎         | 56/1500 [52:10<21:24:10, 53.36s/it]
  4%|▍         | 57/1500 [53:02<21:18:02, 53.14s/it]
  4%|▍         | 58/1500 [53:56<21:22:58, 53.38s/it]
  4%|▍         | 59/1500 [54:49<21:18:47, 53.25s/it]
  4%|▍         | 60/1500 [55:46<21:44:59, 54.37s/it]
                                                    

  4%|▍         | 60/1500 [55:46<21:44:59, 54.37s/it]
  4%|▍         | 61/1500 [56:38<21:22:15, 53.46s/it]
  4%|▍         | 62/1500 [57:35<21:47:52, 54.57s/it]
  4%|▍         | 63/1500 [58:32<22:04:15, 55.29s/it]
  4%|▍         | 64/1500 [59:32<22:42:21, 56.92s/it]
  4%|▍         | 65/1500 [1:00:29<22:39:57, 56.86s/it]
  4%|▍         | 66/1500 [1:01:31<23:16:37, 58.44s/it]
  4%|▍         | 67/1500 [1:02:23<22:27:28, 56.42s/it]
  5%|▍         | 68/1500 [1:03:19<22:24:32, 56.34s/it]
  5%|▍         | 69/1500 [1:04:10<21:47:42, 54.83s/it]
  5%|▍         | 70/1500 [1:05:03<21:28:38, 54.07s/it]
                                                      

  5%|▍         | 70/1500 [1:05:03<21:28:38, 54.07s/it]
  5%|▍         | 71/1500 [1:05:58<21:37:54, 54.50s/it]
  5%|▍         | 72/1500 [1:06:49<21:13:18, 53.50s/it]
  5%|▍         | 73/1500 [1:07:45<21:25:13, 54.04s/it]
  5%|▍         | 74/1500 [1:08:41<21:39:32, 54.68s/it]
  5%|▌         | 75/1500 [1:09:34<21:25:42, 54.13s/it]
  5%|▌         | 76/1500 [1:10:32<21:53:59, 55.36s/it]
  5%|▌         | 77/1500 [1:11:27<21:51:54, 55.32s/it]
  5%|▌         | 78/1500 [1:12:25<22:10:29, 56.14s/it]
  5%|▌         | 79/1500 [1:13:25<22:35:36, 57.24s/it]
  5%|▌         | 80/1500 [1:14:22<22:29:29, 57.02s/it]
                                                      

  5%|▌         | 80/1500 [1:14:22<22:29:29, 57.02s/it]
  5%|▌         | 81/1500 [1:15:11<21:33:33, 54.70s/it]
  5%|▌         | 82/1500 [1:16:10<22:06:41, 56.14s/it]
  6%|▌         | 83/1500 [1:17:03<21:41:55, 55.13s/it]
  6%|▌         | 84/1500 [1:17:55<21:20:52, 54.27s/it]
  6%|▌         | 85/1500 [1:18:51<21:27:30, 54.59s/it]
  6%|▌         | 86/1500 [1:19:42<21:01:26, 53.53s/it]
  6%|▌         | 87/1500 [1:20:37<21:14:33, 54.12s/it]
  6%|▌         | 88/1500 [1:21:31<21:08:24, 53.90s/it]
  6%|▌         | 89/1500 [1:22:25<21:13:09, 54.14s/it]
  6%|▌         | 90/1500 [1:23:30<22:27:51, 57.36s/it]
                                                      

  6%|▌         | 90/1500 [1:23:30<22:27:51, 57.36s/it]
  6%|▌         | 91/1500 [1:24:21<21:43:05, 55.49s/it]
  6%|▌         | 92/1500 [1:25:15<21:30:17, 54.98s/it]
  6%|▌         | 93/1500 [1:26:16<22:12:52, 56.84s/it]
  6%|▋         | 94/1500 [1:27:15<22:22:55, 57.31s/it]
  6%|▋         | 95/1500 [1:28:07<21:45:11, 55.74s/it]
  6%|▋         | 96/1500 [1:28:58<21:10:51, 54.31s/it]
  6%|▋         | 97/1500 [1:29:51<21:03:58, 54.05s/it]
  7%|▋         | 98/1500 [1:30:49<21:25:38, 55.02s/it]
  7%|▋         | 99/1500 [1:31:44<21:30:42, 55.28s/it]
  7%|▋         | 100/1500 [1:32:40<21:28:38, 55.23s/it]
                                                       

  7%|▋         | 100/1500 [1:32:40<21:28:38, 55.23s/it]
  7%|▋         | 101/1500 [1:33:42<22:20:00, 57.47s/it]
